                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.046,                 2.0243,                  1.437,                0.70789,                0.55894,                0.53613,                 0.2876,                 1.1181,                 3.0328,                 1.4174,             0.00038589,             0.00038589,             0.00038589
                      2,                 1.0067,                 1.0258,                 1.4196,                0.35548,                0.52187,                0.33984,                0.21658,                0.99848,                  13.18,                 1.4115,             0.00075214,             0.00075214,             0.00075214
                      3,                 1.0897,                 1.0435,                 1.4386,                0.75519,                0.50742,                0.58002,                0.31766,                 1.0226,                 1.0891,                 1.4156,              0.0010925,              0.0010925,              0.0010925
                      4,                 1.0882,                 1.1405,                 1.4474,                0.76279,                 0.5788,                0.59574,                0.35061,                   1.01,                 1.0453,                  1.411,              0.0012875,              0.0012875,              0.0012875
                      5,                 1.0958,                 1.0737,                 1.4346,                0.76463,                0.55876,                0.60656,                0.34807,                 1.1228,                 1.0724,                 1.4176,              0.0012875,              0.0012875,              0.0012875
                      6,                 1.1083,                 1.0309,                  1.439,                0.81002,                0.60669,                0.65445,                0.38475,                 1.0445,                0.95323,                 1.4163,              0.0012403,              0.0012403,              0.0012403
                      7,                 1.0111,                0.95278,                 1.4259,                 0.8891,                0.60334,                0.69478,                0.40757,                 1.0385,                0.90809,                 1.4059,              0.0011932,              0.0011932,              0.0011932
                      8,                0.97692,                0.87586,                 1.4119,                0.84083,                0.64402,                0.69555,                 0.4272,                0.99941,                0.86925,                 1.4061,               0.001146,               0.001146,               0.001146
                      9,                0.97797,                0.87451,                  1.409,                0.84259,                0.62463,                0.69516,                 0.4147,                0.96786,                0.86163,                 1.3928,              0.0010988,              0.0010988,              0.0010988
                     10,                0.91676,                0.84186,                 1.3944,                0.81505,                0.67644,                0.71196,                0.44727,                0.90192,                 0.8084,                 1.3858,              0.0010517,              0.0010517,              0.0010517
                     11,                0.89217,                0.80792,                 1.3989,                0.90513,                0.63799,                0.70878,                0.45332,                0.89446,                0.78024,                 1.3863,              0.0010045,              0.0010045,              0.0010045
                     12,                0.87386,                0.78145,                 1.3865,                0.72247,                0.65473,                0.66737,                0.39723,                0.98731,                0.88306,                 1.3944,             0.00095735,             0.00095735,             0.00095735
                     13,                0.91371,                 0.8188,                 1.3939,                0.84344,                0.68131,                0.70729,                0.43032,                0.92522,                0.83196,                 1.3854,             0.00091019,             0.00091019,             0.00091019
                     14,                0.86946,                 0.7744,                 1.3854,                0.89327,                0.62736,                0.70099,                0.45606,                0.88569,                0.79065,                 1.3798,             0.00086302,             0.00086302,             0.00086302
                     15,                0.87468,                0.78253,                 1.3896,                0.87538,                0.65258,                0.70831,                0.45983,                0.85018,                0.76948,                 1.3733,             0.00081586,             0.00081586,             0.00081586
                     16,                0.85375,                0.76042,                 1.3825,                0.84984,                0.64303,                0.69159,                0.42288,                0.97705,                 0.8314,                  1.385,              0.0007687,              0.0007687,              0.0007687
                     17,                0.88893,                0.78288,                  1.381,                0.87381,                0.67309,                0.73164,                0.47852,                0.85871,                0.77759,                 1.3788,             0.00072153,             0.00072153,             0.00072153
                     18,                0.85111,                0.74191,                 1.3788,                0.84875,                0.68867,                0.73165,                0.48717,                0.82284,                0.71913,                 1.3761,             0.00067437,             0.00067437,             0.00067437
                     19,                0.79928,                0.70831,                 1.3734,                0.85085,                0.68996,                0.73125,                0.49165,                0.81294,                0.70733,                 1.3728,              0.0006272,              0.0006272,              0.0006272
                     20,                0.81644,                0.71557,                 1.3737,                0.84229,                0.69783,                0.72978,                0.48871,                0.83271,                0.73478,                  1.377,             0.00058004,             0.00058004,             0.00058004
                     21,                 0.8361,                0.73818,                 1.3718,                0.86033,                0.67838,                0.71708,                0.46655,                0.87937,                0.76507,                  1.381,             0.00053287,             0.00053287,             0.00053287
                     22,                0.80782,                 0.7203,                  1.369,                0.88761,                0.65971,                0.73308,                0.48759,                0.81993,                0.72777,                 1.3713,             0.00048571,             0.00048571,             0.00048571
                     23,                0.81384,                0.71747,                 1.3732,                0.92188,                0.65614,                0.73391,                0.49059,                0.81658,                0.71589,                 1.3727,             0.00043854,             0.00043854,             0.00043854
                     24,                0.81092,                0.70384,                 1.3687,                0.88946,                0.67243,                0.74374,                0.49529,                0.82924,                0.71448,                 1.3745,             0.00039138,             0.00039138,             0.00039138
                     25,                0.79058,                 0.6868,                 1.3585,                0.87285,                0.69862,                0.74361,                0.50679,                0.80316,                0.68725,                 1.3702,             0.00034421,             0.00034421,             0.00034421
                     26,                0.78116,                 0.6748,                 1.3612,                0.86772,                0.70481,                0.75384,                0.50372,                0.80587,                0.68284,                  1.372,             0.00029705,             0.00029705,             0.00029705
                     27,                0.76558,                 0.6612,                 1.3573,                0.90389,                0.68671,                0.74894,                0.49903,                0.79477,                0.68059,                 1.3676,             0.00024988,             0.00024988,             0.00024988
                     28,                0.76309,                0.65526,                 1.3603,                0.90425,                0.69786,                0.75795,                0.50349,                0.79501,                0.68079,                 1.3695,             0.00020272,             0.00020272,             0.00020272
                     29,                0.75988,                0.64906,                 1.3572,                0.93429,                 0.6952,                0.75745,                0.51065,                0.79522,                0.67502,                 1.3709,             0.00015556,             0.00015556,             0.00015556
                     30,                0.75435,                0.64278,                 1.3553,                0.91624,                0.69333,                 0.7553,                0.51684,                0.77667,                0.66457,                 1.3647,             0.00010839,             0.00010839,             0.00010839
