                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8882,                 19.811,                 1.4543,                      0,                      0,                      0,                      0,                 2.4693,                 4.3298,                0.98878,             7.0042e-05,             7.0042e-05,             7.0042e-05
                      2,                 1.7317,                 2.4915,                0.86475,                0.57405,                0.32099,                0.28494,                0.11808,                 1.2374,                 1.5222,                0.76387,             0.00013523,             0.00013523,             0.00013523
                      3,                 1.0939,                 1.4208,                0.73427,                0.56167,                0.56999,                0.52642,                0.29707,                0.90862,                 1.1979,                 0.7076,             0.00019326,             0.00019326,             0.00019326
                      4,                  0.901,                 1.0972,                0.70957,                 0.6078,                 0.6727,                0.69129,                0.43428,                0.77918,                0.82174,                0.68845,             0.00024414,             0.00024414,             0.00024414
                      5,                0.80324,                0.92499,                0.69655,                0.58339,                0.71873,                 0.6715,                0.44481,                0.69728,                0.79789,                0.67801,               0.000251,               0.000251,               0.000251
                      6,                0.73671,                0.79098,                0.68382,                0.71443,                0.74668,                0.74533,                0.51519,                 0.6444,                0.60669,                0.67346,               0.000251,               0.000251,               0.000251
                      7,                0.69717,                   0.71,                 0.6837,                0.76317,                0.75722,                0.77002,                0.53965,                0.62229,                0.60672,                0.67021,             0.00023551,             0.00023551,             0.00023551
                      8,                 0.6966,                0.65596,                0.67866,                0.86886,                 0.7903,                0.86296,                0.61217,                 0.6069,                0.45145,                0.66816,             0.00022001,             0.00022001,             0.00022001
                      9,                0.66987,                0.60885,                0.67652,                0.86439,                0.76311,                0.83812,                0.58775,                0.61598,                0.52722,                0.67044,             0.00020451,             0.00020451,             0.00020451
                     10,                0.66873,                0.54499,                 0.6761,                0.82071,                 0.7502,                0.83142,                0.58511,                0.60986,                0.56752,                0.66714,             0.00018901,             0.00018901,             0.00018901
                     11,                0.66051,                0.52022,                0.66762,                 0.9332,                0.82241,                0.89236,                0.64623,                0.57448,                0.41155,                0.66478,             0.00017351,             0.00017351,             0.00017351
                     12,                0.65103,                0.48391,                0.67301,                0.84204,                0.86684,                 0.9024,                0.64786,                0.58252,                0.42176,                0.66545,             0.00015801,             0.00015801,             0.00015801
                     13,                 0.6502,                 0.4616,                0.67295,                0.92934,                  0.881,                0.92888,                0.68068,                0.55966,                0.35725,                 0.6641,             0.00014251,             0.00014251,             0.00014251
                     14,                0.62944,                0.43714,                0.67439,                0.82269,                0.84692,                0.88475,                0.65325,                0.54585,                 0.4286,                 0.6656,             0.00012701,             0.00012701,             0.00012701
                     15,                0.62455,                  0.428,                0.67119,                0.93322,                0.88872,                0.93731,                0.69073,                0.55321,                0.33959,                0.66486,             0.00011151,             0.00011151,             0.00011151
                     16,                0.63956,                0.41294,                0.67656,                0.95163,                0.88843,                0.94331,                0.69717,                0.55056,                0.33165,                0.66485,             9.6014e-05,             9.6014e-05,             9.6014e-05
                     17,                0.61534,                0.40268,                0.67227,                  0.959,                 0.8825,                0.94357,                0.70163,                0.54304,                0.32121,                0.66592,             8.0515e-05,             8.0515e-05,             8.0515e-05
                     18,                0.60018,                0.39055,                 0.6694,                0.85119,                0.92604,                0.93855,                0.69907,                0.53548,                0.33599,                0.66436,             6.5016e-05,             6.5016e-05,             6.5016e-05
                     19,                0.60531,                0.38863,                 0.6711,                0.96424,                0.88402,                0.94383,                0.70777,                0.53271,                0.31713,                0.66563,             4.9517e-05,             4.9517e-05,             4.9517e-05
                     20,                0.59844,                0.38172,                0.66908,                0.96521,                0.89432,                0.94509,                0.70867,                0.52534,                 0.3038,                0.66524,             3.4018e-05,             3.4018e-05,             3.4018e-05
